id,text,language,intent,product,quantity,city,budget,urgency,priority_score,priority_label,split,template_id,source
LL01529,"dada, flooring chi price list patha",mr_roman,price_query,flooring,,,,0,35,Low,test,mr_roman-price_query-6,synthetic_template
LL00828,"मेरी ट्रैवल कंपनी नवी मुंबई में है, 60 पीस में म्यूजिक सिस्टम लगवाना है। कितना डिस्काउंट मिलेगा",hi,bulk_order,म्यूजिक सिस्टम,60 पीस,नवी मुंबई,,0,75,High,train,hi-bulk_order-1,synthetic_template
LL01043,"नमस्ते, गूगल पर पहले पेज की गारंटी के साथ SEO सर्विस पाएं। धन्यवाद।",hi,spam,,,,,0,0,Ignore,train,hi-spam-5,synthetic_template
LL00641,congratulations! aapne free iPhone jeeta hai. abhi claim karo,hinglish,spam,,,,,0,0,Ignore,train,hinglish-spam-1,synthetic_template
LL00769,1 सेट के लिए लगेज रैक की कीमत बताइए। आज ही बात करनी है।,hi,price_query,लगेज रैक,1 सेट,,,1,65,Medium,train,hi-price_query-3,synthetic_template
LL00538,"8 buses ke liye ceiling panel ka wholesale rate batao, total budget Rs 50 lakh",hinglish,bulk_order,ceiling panel,8 buses,,Rs 50 lakh,0,80,High,train,hinglish-bulk_order-5,synthetic_template
LL00135,bulk order: 50 buses need roof-top ac. delivery to panvel in 3 weeks. please call me,en,bulk_order,roof-top ac,50 buses,panvel,,0,75,High,test,en-bulk_order-3,synthetic_template
LL00713,"hi free credit card offer, koi annual fee nahi. abhi apply karo",hinglish,spam,,,,,0,0,Ignore,test,hinglish-spam-9,synthetic_template
LL00414,"mujhe ceiling panel ki price janni hai, budget around 75k",hinglish,price_query,ceiling panel,,,75k,0,45,Medium,val,hinglish-price_query-4,synthetic_template
LL01068,"अपने ट्रैवल बिज़नेस के लिए गारंटीड लीड्स पाएं। सीमित ऑफर, आज ही संपर्क करें। कृपया कॉल करें।",hi,spam,,,,,0,0,Ignore,val,hi-spam-8,synthetic_template
LL00458,sir hume 250 seats ke liye vinyl branding chahiye. bulk me kya rate milega?,hinglish,bulk_order,vinyl branding,250 seats,,,0,70,High,train,hinglish-bulk_order-0,synthetic_template
LL01520,luggage rack chi price list pathva,mr_roman,price_query,luggage rack,,,,0,35,Low,test,mr_roman-price_query-6,synthetic_template
LL00461,hume 5 buses ke liye pushback seats chahiye. bulk me kya rate milega?,hinglish,bulk_order,pushback seats,5 buses,,,0,70,High,train,hinglish-bulk_order-0,synthetic_template
LL00408,"hello sir mujhe led lights ki price janni hai, budget around 3 lakh thanks",hinglish,price_query,led lights,,,3 lakh,0,45,Medium,val,hinglish-price_query-4,synthetic_template
LL00682,gogole pe first page guarantee wali SEO service lo,hinglish,spam,,,,,0,0,Ignore,test,hinglish-spam-5,synthetic_template
LL00246,the reclining seats does not match what was promised. need someone to inspect it,en,complaint,reclining seats,,,,0,25,Low,val,en-complaint-5,synthetic_template
LL01448,"hello sir, flooring cha rate kay aahe? lavkar have aahe",mr_roman,price_query,flooring,,,,1,50,Medium,train,mr_roman-price_query-0,synthetic_template
LL01614,"150 nag sathi flooring cha ghau dar sanga, ekun budget 8 lakh aahe",mr_roman,bulk_order,flooring,150 nag,,8 lakh,0,80,High,train,mr_roman-bulk_order-5,synthetic_template
LL00887,"25 बस के लिए CCTV कैमरा का थोक रेट बताइए, कुल बजट 8 लाख है।",hi,bulk_order,CCTV कैमरा,25 बस,,8 लाख,0,80,High,train,hi-bulk_order-5,synthetic_template
LL00880,"सूरत डिलीवरी के लिए 60 सेट में बस रैप चाहिए, 3 हफ्ते में।",hi,bulk_order,बस रैप,60 सेट,सूरत,,0,75,High,train,hi-bulk_order-4,synthetic_template
LL00062,"Rate for bus AC, my budget is 75k Thanks.",en,price_query,bus AC,,,75k,0,45,Medium,val,en-price_query-6,synthetic_template
LL00525,"Kalyan delivery ke liye 50 bus me pushback seats chahiye, 3 weeks me",hinglish,bulk_order,pushback seats,50 bus,Kalyan,,0,75,High,train,hinglish-bulk_order-4,synthetic_template
LL00967,जलगांव में मेरी बस की डिलीवरी 10 दिन लेट हुई और कोई फोन नहीं उठा रहा।,hi,complaint,,,जलगांव,,0,25,Low,train,hi-complaint-4,synthetic_template
LL00760,1 बस के लिए बॉडी पेंट की कीमत बताइए।,hi,price_query,बॉडी पेंट,1 बस,,,0,50,Medium,train,hi-price_query-3,synthetic_template
LL01680,"namaskar, bus seats ek atavdyatach band padle. mala refund have",mr_roman,complaint,bus seats,,,,0,25,Low,train,mr_roman-complaint-3,synthetic_template
LL00091,"good morning, we want to order window curtains for 12 buses. please share bulk pricing",en,bulk_order,window curtains,12 buses,,,0,70,High,train,en-bulk_order-0,synthetic_template
LL00417,"hi muhe bus seats ki pricce janni hai, budget around rs 2 lakh aaj hi baat karni hai call karna",hinglish,price_query,bus seats,,,rs 2 lakh,1,60,Medium,val,hinglish-price_query-4,synthetic_template
LL01408,सर्व साड्यांवर एकावर एक फ्री. आजच दुकानात या. धन्यवाद.,mr,spam,,,,,0,0,Ignore,train,mr-spam-6,synthetic_template
LL01471,pleasse padde che quotaation pathva. budget rs 40000 aahe khup urgent aahe,mr_roman,price_query,padde,,,rs 40000,1,60,Medium,train,mr_roman-price_query-2,synthetic_template
LL01267,तुम्ही बसवलेले लगेज रॅक खराब झाले आहे. हे योग्य नाही. लवकर हवे आहे.,mr,complaint,लगेज रॅक,,,,1,40,Medium,train,mr-complaint-0,synthetic_template
LL01487,2 seats sathi LED lights chi kimmat sanga khup urgent aahe,mr_roman,price_query,LED lights,2 seats,,,1,65,Medium,train,mr_roman-price_query-3,synthetic_template
LL00730,"नमस्ते, पुशबैक सीट का रेट क्या है? बहुत ज़रूरी है। कृपया कॉल करें।",hi,price_query,पुशबैक सीट,,,,1,50,Medium,train,hi-price_query-0,synthetic_template
LL01017,"हेलो सर, इंस्टाग्राम फॉलोअर्स 50k बढ़ाएं, सस्ते रेट। अभी DM करें।",hi,spam,,,,,0,0,Ignore,train,hi-spam-2,synthetic_template
LL00399,2 buses ke liye bus wrap ki price batao urgent chahiye,hinglish,price_query,bus wrap,2 buses,,,1,65,Medium,train,hinglish-price_query-3,synthetic_template
LL00116,looking to refurbish 20 buses with cctv cameras. budget rs 8 lakh. when can you start?,en,bulk_order,cctv cameras,20 buses,,rs 8 lakh,0,80,High,train,en-bulk_order-2,synthetic_template
LL00023,How much would sleeper berths cost for 1 bus in Ahmedabad,en,price_query,sleeper berths,1 bus,Ahmedabad,,0,55,Medium,train,en-price_query-2,synthetic_template
LL01574,"bulk order dyaycha aahe 40 buses cha, pushback seats have. budget Rs 5 lakh khup urgent aahe",mr_roman,bulk_order,pushback seats,40 buses,,Rs 5 lakh,1,95,High,val,mr_roman-bulk_order-2,synthetic_template
LL01178,आम्हाला 150 नग साठी बस सीट हवे आहे. घाऊक दर काय असेल?,mr,bulk_order,बस सीट,150 नग,,,0,70,High,train,mr-bulk_order-0,synthetic_template
LL00577,"music system ki finishing bahut kharab hai, trant theek karo urgent chahiye",hinglish,complaint,music system,,,,1,40,Medium,train,hinglish-complaint-2,synthetic_template
LL00273,Get a personal loan up to 1 lakh in 5 minutes. Click the link now!,en,spam,,,,,0,0,Ignore,train,en-spam-0,synthetic_template
LL01793,"free credit card offer, anual fee nahi. aatach apply kara",mr_roman,spam,,,,,0,0,Ignore,train,mr_roman-spam-9,synthetic_template
LL00332,"free credit card offer, no annuual fee. apply now",en,spam,,,,,0,0,Ignore,val,en-spam-7,synthetic_template
LL00636,bhai 5 lakh tak personal loan pao 15 minute me. abhi click karo! call karna,hinglish,spam,,,,,0,0,Ignore,val,hinglish-spam-0,synthetic_template
LL01010,"इंस्टाग्राम फॉलोअर्स 50k बढ़ाएं, सस्ते रेट। अभी DM करें।",hi,spam,,,,,0,0,Ignore,train,hi-spam-2,synthetic_template
LL00928,"मैंने बस रैप के पैसे दे दिए, लेकिन काम अभी तक अधूरा है।",hi,complaint,बस रैप,,,,0,25,Low,val,hi-complaint-1,synthetic_template
LL00155,"Hey, Need pushback seats for 150 sets, total budget Rs 8 lakh. Please call me. Thank you",en,bulk_order,pushback seats,150 sets,,Rs 8 lakh,0,80,High,train,en-bulk_order-5,synthetic_template
LL01603,"hello sir, Kolhapur madhe delivery sathi 10 buses madhe body paint have, 3 athavdyat",mr_roman,bulk_order,body paint,10 buses,Kolhapur,,0,75,High,test,mr_roman-bulk_order-4,synthetic_template
